SEP=;
DateTime;CoreBodyTemp [C];TempChangeRate [C/h];TempQuality [1(poor) to 4(excellent)];SkinTemp [C]
12.01.2023 00:00:25;37;;1;32.35
12.01.2023 00:01:25;37;;1;32.8
12.01.2023 00:02:25;37;;1;33.08
12.01.2023 00:03:25;37.12;;1;33.27
12.01.2023 00:04:25;37.2;;1;33.41
12.01.2023 00:05:25;37.26;;1;33.51
12.01.2023 00:06:25;37.31;3.06;2;33.57
12.01.2023 00:07:25;37.36;2.7;2;33.59
12.01.2023 00:08:25;37.39;1.8;2;33.6
12.01.2023 00:09:25;37.42;1.8;2;33.61
12.01.2023 00:10:25;37.44;1.5;2;33.61
12.01.2023 00:11:25;37.47;1.56;3;33.61
12.01.2023 00:12:25;37.49;1.2;3;33.61
12.01.2023 00:13:25;37.5;0.9;3;33.63
12.01.2023 00:14:25;37.52;0.9;3;33.65
12.01.2023 00:15:23;37.52;0.31;3;33.5
12.01.2023 00:16:23;37.53;0.6;3;32.89
12.01.2023 00:17:23;37.53;0;3;32.37
12.01.2023 00:18:23;37.53;-0.3;3;32.3
12.01.2023 00:19:23;37.53;0;3;31.42
12.01.2023 00:20:23;37.53;0.3;3;31.34
12.01.2023 00:21:23;37.53;0;3;31.47
12.01.2023 00:22:23;37.53;0;3;31.67
12.01.2023 00:23:23;37.54;0.6;3;31.73
12.01.2023 00:24:23;37.54;0;3;31.9
12.01.2023 00:25:23;37.53;-0.6;3;32.14
12.01.2023 00:26:23;37.52;-0.6;3;32.38
12.01.2023 00:27:24;37.51;-0.89;3;32.61
12.01.2023 00:28:24;37.49;-0.9;3;32.85
12.01.2023 00:29:24;37.48;-0.9;3;33.06
12.01.2023 00:30:24;37.46;-0.9;3;33.27
12.01.2023 00:31:24;37.44;-1.2;3;33.45
12.01.2023 00:32:24;37.43;-0.9;3;33.61
12.01.2023 00:33:24;37.41;-1.2;3;33.77
12.01.2023 00:34:24;37.39;-1.2;3;33.93
12.01.2023 00:35:24;37.37;-0.84;4;34.08
12.01.2023 00:36:24;37.36;-0.9;4;34.21
12.01.2023 00:37:24;37.34;-1.2;4;34.33
12.01.2023 00:38:24;37.32;-0.9;4;34.45
12.01.2023 00:39:24;37.31;-0.9;4;34.55
12.01.2023 00:40:24;37.29;-0.9;4;34.64
12.01.2023 00:41:24;37.27;-1.2;4;34.73
12.01.2023 00:42:24;37.26;-0.9;4;34.81
12.01.2023 00:43:24;37.25;-0.6;4;34.89
12.01.2023 00:44:24;37.23;-0.9;4;34.98
12.01.2023 00:45:24;37.22;-0.9;4;35.06
12.01.2023 00:46:24;37.2;-0.9;4;35.12
