SEP=;
DateTime;CoreBodyTemp [C];TempChangeRate [C/h];TempQuality [1(poor) to 4(excellent)];SkinTemp [C]
17.11.2022 00:00:24;37.28;0;3;33
17.11.2022 00:01:24;37.27;-0.6;3;32.97
17.11.2022 00:02:24;37.27;0;3;33.03
17.11.2022 00:03:24;37.27;-0.3;3;33.04
17.11.2022 00:04:24;37.26;-0.6;3;33.03
17.11.2022 00:05:24;37.25;-0.6;3;33.05
17.11.2022 00:06:24;37.24;-0.6;3;33.09
17.11.2022 00:07:24;37.23;-0.6;3;33.14
17.11.2022 00:08:24;37.22;-0.6;3;33.19
17.11.2022 00:09:24;37.2;-0.9;3;33.23
17.11.2022 00:10:24;37.19;-0.6;3;33.29
17.11.2022 00:11:24;37.18;-0.9;3;33.33
17.11.2022 00:12:24;37.17;-0.6;3;33.38
17.11.2022 00:13:24;37.15;-0.9;3;33.42
17.11.2022 00:14:24;37.14;-0.6;3;33.46
17.11.2022 00:15:24;37.13;-0.6;3;33.44
17.11.2022 00:16:24;37.13;-0.3;3;33.45
17.11.2022 00:17:24;37.13;0.3;3;33.59
17.11.2022 00:18:24;37.14;0.3;3;33.67
17.11.2022 00:19:24;37.14;0.3;3;33.73
17.11.2022 00:20:24;37.15;0.3;3;33.8
17.11.2022 00:21:24;37.15;0;3;33.87
17.11.2022 00:22:24;37.15;0;3;33.94
17.11.2022 00:23:24;37.15;0;3;34.02
17.11.2022 00:24:24;37.14;-0.24;4;34.09
17.11.2022 00:25:24;37.14;-0.3;4;34.16
17.11.2022 00:26:24;37.14;0;4;34.24
17.11.2022 00:27:24;37.13;-0.3;4;34.28
17.11.2022 00:28:24;37.13;-0.3;4;34.3
17.11.2022 00:29:24;37.12;-0.3;4;34.39
17.11.2022 00:30:24;37.12;-0.3;4;34.5
17.11.2022 00:31:24;37.12;0;4;34.66
17.11.2022 00:32:24;37.11;-0.3;4;34.76
17.11.2022 00:33:24;37.1;-0.6;4;34.82
17.11.2022 00:34:24;37.1;-0.3;4;34.87
17.11.2022 00:35:24;37.09;-0.3;4;34.89
17.11.2022 00:36:24;37.08;-0.6;4;34.94
17.11.2022 00:37:24;37.08;-0.3;4;34.99
17.11.2022 00:38:24;37.07;-0.6;4;35.05
17.11.2022 00:39:25;37.06;-0.3;4;35.1
17.11.2022 00:40:25;37.05;-0.6;4;35.17
17.11.2022 00:41:25;37.04;-0.6;4;35.21
17.11.2022 00:42:25;37.04;-0.3;4;35.22
17.11.2022 00:43:25;37.03;-0.3;4;35.23
17.11.2022 00:44:25;37.02;-0.6;4;35.29
17.11.2022 00:45:25;37.02;-0.3;4;35.35
17.11.2022 00:46:25;37.01;-0.6;4;35.38
17.11.2022 00:47:25;37;-0.6;4;35.39
17.11.2022 00:48:25;36.99;-0.6;4;35.41
17.11.2022 00:49:25;36.98;-0.6;4;35.43
17.11.2022 00:50:25;36.97;-0.3;4;35.45
17.11.2022 00:51:25;36.96;-0.6;4;35.48
17.11.2022 00:52:25;36.95;-0.9;4;35.5
17.11.2022 00:53:25;36.94;-0.6;4;35.52
17.11.2022 00:54:25;36.93;-0.6;4;35.55
17.11.2022 00:55:25;36.92;-0.6;4;35.57
17.11.2022 00:56:25;36.9;-0.9;4;35.59
17.11.2022 00:57:25;36.89;-0.9;4;35.61
17.11.2022 00:58:25;36.88;-0.6;4;35.63
17.11.2022 00:59:25;36.87;-0.6;4;35.65
17.11.2022 01:00:25;36.86;-0.6;4;35.67
17.11.2022 01:01:25;36.85;-0.6;4;35.69
