SEP=;
DateTime;CoreBodyTemp [C];TempChangeRate [C/h];TempQuality [1(poor) to 4(excellent)];SkinTemp [C]
05.01.2023 00:00:43;36.65;0;4;35.38
05.01.2023 00:01:43;36.65;0.3;4;35.36
05.01.2023 00:02:43;36.65;0;4;35.35
05.01.2023 00:03:43;36.65;0;4;35.35
05.01.2023 00:04:43;36.66;0.3;4;35.34
05.01.2023 00:05:43;36.66;0;4;35.34
05.01.2023 00:06:43;36.66;0.3;4;35.34
05.01.2023 00:07:43;36.67;0.3;4;35.33
05.01.2023 00:08:43;36.68;0.6;4;35.31
05.01.2023 00:09:43;36.69;0.6;4;35.32
05.01.2023 00:10:43;36.7;0.6;4;35.26
05.01.2023 00:11:42;36.71;0.61;4;35.14
05.01.2023 00:12:42;36.72;0.9;4;34.99
05.01.2023 00:13:42;36.73;0.6;4;34.88
05.01.2023 00:14:42;36.74;0.6;4;34.78
05.01.2023 00:15:42;36.75;0.3;4;34.69
05.01.2023 00:16:42;36.75;0;4;34.57
05.01.2023 00:17:42;36.75;0.3;4;34.44
05.01.2023 00:18:42;;;;32.3
05.01.2023 00:19:42;;;;30.03
05.01.2023 00:20:42;;;;28.28
05.01.2023 00:21:42;;;;26.84
05.01.2023 00:22:42;;;;25.7
05.01.2023 00:23:42;;;;24.81
05.01.2023 00:24:42;;;;24.14
05.01.2023 00:25:42;;;;23.61
05.01.2023 00:26:42;;;;23.22
05.01.2023 00:27:42;;;;22.96
05.01.2023 00:28:42;;;;22.79
05.01.2023 00:29:42;;;;22.68
05.01.2023 00:30:42;;;;22.61
05.01.2023 00:31:42;;;;22.57
05.01.2023 00:32:42;;;;22.58
05.01.2023 00:33:42;;;;22.58
05.01.2023 00:34:42;;;;22.61
05.01.2023 00:35:42;;;;22.67
05.01.2023 00:36:42;;;;22.73
05.01.2023 00:37:42;;;;22.79
05.01.2023 00:38:42;;;;22.83
05.01.2023 00:39:42;;;;22.89
05.01.2023 00:40:42;;;;22.93
05.01.2023 00:41:42;;;;22.93
05.01.2023 00:42:42;;;;22.92
05.01.2023 00:43:42;;;;22.9
05.01.2023 00:44:42;;;;22.88
05.01.2023 00:45:42;;;;22.86
05.01.2023 00:46:42;;;;22.84
05.01.2023 00:47:42;;;;22.84
05.01.2023 00:48:42;;;;22.85
05.01.2023 00:49:42;;;;22.87
05.01.2023 00:50:42;;;;22.88
05.01.2023 00:51:42;;;;22.91
05.01.2023 00:52:42;;;;22.92
05.01.2023 00:53:42;;;;22.89
05.01.2023 00:54:42;;;;22.88
05.01.2023 00:55:42;;;;22.88
05.01.2023 00:56:42;;;;22.89
05.01.2023 00:57:42;;;;22.92
05.01.2023 00:58:42;;;;22.95
05.01.2023 00:59:42;;;;22.99
05.01.2023 01:00:42;;;;23.04
05.01.2023 01:01:42;;;;23.09
05.01.2023 01:02:42;;;;23.15
05.01.2023 01:03:42;;;;23.21
05.01.2023 01:04:42;;;;23.27
05.01.2023 01:05:42;;;;23.32
05.01.2023 01:06:42;;;;23.38
05.01.2023 01:07:42;;;;23.43
05.01.2023 01:08:42;;;;23.47
05.01.2023 01:09:42;;;;23.49
05.01.2023 01:10:42;;;;23.5
05.01.2023 01:11:42;;;;23.51
05.01.2023 01:12:42;;;;23.53
05.01.2023 01:13:42;;;;24.11
05.01.2023 01:14:42;;;;25.81
05.01.2023 01:15:42;;;;27.22
05.01.2023 01:16:42;;;;28.38
05.01.2023 01:17:42;;;;29.37
05.01.2023 01:18:42;;;;30.19
05.01.2023 01:19:42;;;;30.79
05.01.2023 01:20:42;;;;31.24
05.01.2023 01:21:42;;;;31.64
05.01.2023 01:22:42;;;;31.95
05.01.2023 01:23:42;;;;32.13
05.01.2023 01:24:42;;;;32.42
05.01.2023 01:25:42;;;;32.71
05.01.2023 01:26:42;36.77;2206.38;3;32.94
05.01.2023 01:27:42;36.75;-1.5;3;33.13
05.01.2023 01:28:42;36.74;-0.6;3;33.26
05.01.2023 01:29:42;36.73;-0.6;3;33.35
05.01.2023 01:30:42;36.72;-0.6;3;33.42
05.01.2023 01:31:42;36.71;-0.6;3;33.57
05.01.2023 01:32:42;36.7;-0.3;3;33.75
05.01.2023 01:33:42;36.69;-0.6;3;33.96
05.01.2023 01:34:42;36.69;-0.24;4;34.17
05.01.2023 01:35:42;36.68;-0.6;4;34.37
05.01.2023 01:36:42;36.67;-0.6;4;34.56
05.01.2023 01:37:43;36.66;-0.59;4;34.73
05.01.2023 01:38:43;36.65;-0.6;4;34.9
05.01.2023 01:39:43;36.64;-0.3;4;35.04
05.01.2023 01:40:43;36.63;-0.6;4;35.17
05.01.2023 01:41:43;36.63;0;4;35.29
05.01.2023 01:42:43;36.63;-0.3;4;35.41
05.01.2023 01:43:43;36.63;0;4;35.51
05.01.2023 01:44:43;36.62;-0.3;4;35.6
05.01.2023 01:45:43;36.62;-0.3;4;35.69
05.01.2023 01:46:43;36.61;-0.3;4;35.78
05.01.2023 01:47:43;36.6;-0.6;4;35.85
05.01.2023 01:48:43;36.59;-0.6;4;35.92
05.01.2023 01:49:43;36.59;-0.3;4;35.99
05.01.2023 01:50:43;36.58;-0.3;4;36.05
05.01.2023 01:51:43;36.57;-0.6;4;36.11
05.01.2023 01:52:43;36.57;-0.3;4;36.16
05.01.2023 01:53:43;36.56;-0.3;4;36.25
05.01.2023 01:54:43;36.57;0.6;4;36.24
05.01.2023 01:55:43;36.58;0.6;4;36.16
05.01.2023 01:56:43;36.59;0.3;4;36.07
05.01.2023 01:57:43;36.59;0;4;36
05.01.2023 01:58:43;36.58;-0.3;4;35.96
05.01.2023 01:59:43;36.58;-0.3;4;35.91
05.01.2023 02:00:43;36.56;-0.9;4;35.87
05.01.2023 02:01:43;36.55;-0.9;4;35.84
05.01.2023 02:02:43;36.53;-1.2;4;35.81
05.01.2023 02:03:43;36.51;-0.9;4;35.79
05.01.2023 02:04:43;36.5;-0.9;4;35.77
05.01.2023 02:05:43;36.49;-0.6;4;35.75
05.01.2023 02:06:43;36.47;-0.9;4;35.74
05.01.2023 02:07:43;36.46;-0.6;4;35.73
05.01.2023 02:08:43;36.45;-0.9;4;35.71
05.01.2023 02:09:43;36.44;-0.6;4;35.69
05.01.2023 02:10:43;36.43;-0.6;4;35.67
05.01.2023 02:11:43;36.42;-0.6;4;35.65
05.01.2023 02:12:43;36.41;-0.6;4;35.64
05.01.2023 02:13:43;36.39;-0.9;4;35.62
